character_name,character_url
"""Soo-Soo""",https://dune.fandom.com/wiki/%22Soo-Soo%22
Albert Atreides,https://dune.fandom.com/wiki/Albert_Atreides
Alia Atreides/1984 film,https://dune.fandom.com/wiki/Alia_Atreides/1984_film
Alia Atreides/2000 miniseries,https://dune.fandom.com/wiki/Alia_Atreides/2000_miniseries
Alia Atreides/2021 film,https://dune.fandom.com/wiki/Alia_Atreides/2021_film
Aman Wutin,https://dune.fandom.com/wiki/Aman_Wutin
Anirul,https://dune.fandom.com/wiki/Anirul
Aramsham/2000 miniseries,https://dune.fandom.com/wiki/Aramsham/2000_miniseries
Arjen Gates,https://dune.fandom.com/wiki/Arjen_Gates
Assan Tariq/2000 miniseries,https://dune.fandom.com/wiki/Assan_Tariq/2000_miniseries
Avila,https://dune.fandom.com/wiki/Avila
Baron Yaoufirks,https://dune.fandom.com/wiki/Baron_Yaoufirks
Baron's Doctor,https://dune.fandom.com/wiki/Baron%27s_Doctor
Bijaz/2000 miniseries,https://dune.fandom.com/wiki/Bijaz/2000_miniseries
Bordanos,https://dune.fandom.com/wiki/Bordanos
Chalice Corrino/XD,https://dune.fandom.com/wiki/Chalice_Corrino/XD
Chani Kynes/1984 film,https://dune.fandom.com/wiki/Chani_Kynes/1984_film
Chani Kynes/2000 miniseries,https://dune.fandom.com/wiki/Chani_Kynes/2000_miniseries
Characters,https://dune.fandom.com/wiki/Characters
Constantine Corrino,https://dune.fandom.com/wiki/Constantine_Corrino
Category:Cut Characters,https://dune.fandom.com/wiki/Category:Cut_Characters
Czigo,https://dune.fandom.com/wiki/Czigo
Czigo/1984 film,https://dune.fandom.com/wiki/Czigo/1984_film
Czigo/2021 film,https://dune.fandom.com/wiki/Czigo/2021_film
Daniel,https://dune.fandom.com/wiki/Daniel
Daniel/XD,https://dune.fandom.com/wiki/Daniel/XD
Desmond Hart,https://dune.fandom.com/wiki/Desmond_Hart
Dorotea/2021 film,https://dune.fandom.com/wiki/Dorotea/2021_film
Duncan Idaho/1984 film,https://dune.fandom.com/wiki/Duncan_Idaho/1984_film
Duncan Idaho/2000 miniseries,https://dune.fandom.com/wiki/Duncan_Idaho/2000_miniseries
Duncan Idaho/2021 film,https://dune.fandom.com/wiki/Duncan_Idaho/2021_film
Duri,https://dune.fandom.com/wiki/Duri
Edric/2000 miniseries,https://dune.fandom.com/wiki/Edric/2000_miniseries
Egan Saar,https://dune.fandom.com/wiki/Egan_Saar
Elba,https://dune.fandom.com/wiki/Elba
Elrood Corrino IX/2021 film,https://dune.fandom.com/wiki/Elrood_Corrino_IX/2021_film
Elrood VI,https://dune.fandom.com/wiki/Elrood_VI
Emeline,https://dune.fandom.com/wiki/Emeline
Ennzyn,https://dune.fandom.com/wiki/Ennzyn
Erik III,https://dune.fandom.com/wiki/Erik_III
Esmar Tuek/2000 miniseries,https://dune.fandom.com/wiki/Esmar_Tuek/2000_miniseries
Evgeny Harkonnen,https://dune.fandom.com/wiki/Evgeny_Harkonnen
Falra,https://dune.fandom.com/wiki/Falra
Farad'n Corrino/2000 miniseries,https://dune.fandom.com/wiki/Farad%27n_Corrino/2000_miniseries
Farok's son/2000 miniseries,https://dune.fandom.com/wiki/Farok%27s_son/2000_miniseries
